Radiant1,Radiant2,Radiant3,Radiant4,Radiant5,Dire1,Dire2,Dire3,Dire4,Dire5,RadWin
Earthshaker,Abaddon,Beastmaster,Mirana,Kunkka,Sand King,Phoenix,Phantom Lancer,Treant Protector,Queen of Pain,1
Kunkka,Phoenix,Jakiro,Invoker,Nature's Prophet,Legion Commander,Rubick,Terrorblade,Death Prophet,Winter Wyvern,0
Rubick,Legion Commander,Ember Spirit,Mars,Jakiro,Pangolier,Ogre Magi,Mirana,Morphling,Nature's Prophet,0
Jakiro,Ursa,Tiny,Shadow Demon,Templar Assassin,Keeper of the Light,Riki,Legion Commander,Medusa,Puck,0
Clockwerk,Drow Ranger,Jakiro,Necrophos,Lina,Earthshaker,Tinker,Abaddon,Windranger,Morphling,1
Keeper of the Light,Abaddon,Pangolier,Tusk,Nature's Prophet,Jakiro,Storm Spirit,Ogre Magi,Troll Warlord,Pugna,1
Winter Wyvern,Queen of Pain,Timbersaw,Treant Protector,Lifestealer,Enchantress,Viper,Earth Spirit,Luna,Puck,0
Shadow Fiend,Windranger,Timbersaw,Bane,Necrophos,Nature's Prophet,Gyrocopter,Disruptor,Ember Spirit,Clockwerk,0
Bane,Mirana,Void Spirit,Spectre,Timbersaw,Drow Ranger,Pugna,Storm Spirit,Clockwerk,Abaddon,1
Puck,Death Prophet,Slark,Bane,Mirana,Ogre Magi,Ember Spirit,Tiny,Pugna,Abaddon,0
Void Spirit,Lich,Venomancer,Anti-Mage,Tusk,Legion Commander,Pangolier,Snapfire,Ursa,Rubick,0
Witch Doctor,Meepo,Queen of Pain,Tiny,Timbersaw,Leshrac,Vengeful Spirit,Terrorblade,Undying,Tusk,1
Tusk,Lich,Venomancer,Void Spirit,Anti-Mage,Legion Commander,Rubick,Pangolier,Snapfire,Ursa,1
Drow Ranger,Night Stalker,Phoenix,Medusa,Grimstroke,Ursa,Mars,Lone Druid,Dazzle,Queen of Pain,0
Phantom Lancer,Void Spirit,Legion Commander,Rubick,Grimstroke,Jakiro,Tusk,Viper,Ember Spirit,Slark,0
Crystal Maiden,Pugna,Lina,Bristleback,Juggernaut,Spectre,Lich,Invoker,Sand King,Grimstroke,1
Night Stalker,Nature's Prophet,Legion Commander,Anti-Mage,Oracle,Luna,Axe,Queen of Pain,Tusk,Vengeful Spirit,0
Clockwerk,Necrophos,Troll Warlord,Timbersaw,Bane,Chen,Shadow Fiend,Nature's Prophet,Pugna,Earth Spirit,0
Jakiro,Ember Spirit,Luna,Kunkka,Phoenix,Rubick,Void Spirit,Slark,Nature's Prophet,Disruptor,1
Puck,Terrorblade,Queen of Pain,Earthshaker,Vengeful Spirit,Zeus,Anti-Mage,Timbersaw,Lich,Mirana,1
Phantom Assassin,Centaur Warrunner,Phoenix,Puck,Treant Protector,Bane,Anti-Mage,Kunkka,Clockwerk,Mirana,1
Mirana,Drow Ranger,Lion,Pugna,Nyx Assassin,Leshrac,Shadow Demon,Dragon Knight,Centaur Warrunner,Chen,0
Lich,Shadow Fiend,Centaur Warrunner,Mirana,Anti-Mage,Enchantress,Queen of Pain,Ember Spirit,Morphling,Earthshaker,1
Naga Siren,Doom,Earthshaker,Death Prophet,Disruptor,Treant Protector,Wraith King,Lina,Phoenix,Rubick,0
Crystal Maiden,Luna,Leshrac,Pangolier,Templar Assassin,Chen,Pugna,Juggernaut,Tusk,Nature's Prophet,0
Anti-Mage,Void Spirit,Sand King,Mirana,Shadow Demon,Lycan,Timbersaw,Ursa,Puck,Clockwerk,1
Jakiro,Doom,Timbersaw,Terrorblade,Queen of Pain,Io,Puck,Dazzle,Ursa,Tiny,0
Void Spirit,Shadow Demon,Kunkka,Anti-Mage,Ogre Magi,Nyx Assassin,Treant Protector,Leshrac,Necrophos,Nature's Prophet,0
Oracle,Rubick,Terrorblade,Doom,Pangolier,Ember Spirit,Slark,Underlord,Enchantress,Clockwerk,1
Faceless Void,Clockwerk,Templar Assassin,Snapfire,Oracle,Mirana,Tiny,Phantom Lancer,Nature's Prophet,Shadow Demon,0
Nature's Prophet,Beastmaster,Phoenix,Templar Assassin,Treant Protector,Ogre Magi,Anti-Mage,Razor,Doom,Puck,1
Treant Protector,Clinkz,Outworld Devourer,Razor,Crystal Maiden,Leshrac,Ogre Magi,Doom,Shadow Shaman,Troll Warlord,0
Lifestealer,Venomancer,Doom,Beastmaster,Bane,Clockwerk,Faceless Void,Invoker,Tusk,Oracle,1
Jakiro,Earthshaker,Dragon Knight,Naga Siren,Void Spirit,Puck,Rubick,Necrophos,Nature's Prophet,Tiny,0
Legion Commander,Enchantress,Mirana,Morphling,Clinkz,Juggernaut,Shadow Demon,Shadow Fiend,Beastmaster,Crystal Maiden,1
Grimstroke,Pangolier,Nature's Prophet,Ursa,Invoker,Spirit Breaker,Ogre Magi,Rubick,Lina,Troll Warlord,0
Clockwerk,Ember Spirit,Keeper of the Light,Ursa,Phoenix,Enchantress,Tiny,Legion Commander,Lifestealer,Void Spirit,1
Bloodseeker,Shadow Shaman,Vengeful Spirit,Tidehunter,Doom,Lycan,Juggernaut,Puck,Disruptor,Tiny,1
Treant Protector,Windranger,Chen,Alchemist,Phoenix,Tiny,Kunkka,Nature's Prophet,Jakiro,Terrorblade,0
Wraith King,Leshrac,Nyx Assassin,Shadow Demon,Morphling,Juggernaut,Mars,Pugna,Clockwerk,Centaur Warrunner,0
Anti-Mage,Void Spirit,Brewmaster,Phoenix,Ogre Magi,Ursa,Sniper,Clockwerk,Mirana,Shadow Demon,0
Batrider,Medusa,Nyx Assassin,Nature's Prophet,Bane,Mirana,Terrorblade,Queen of Pain,Mars,Shadow Demon,1
Pangolier,Nature's Prophet,Phoenix,Void Spirit,Treant Protector,Ogre Magi,Leshrac,Beastmaster,Rubick,Wraith King,0
Vengeful Spirit,Ursa,Nature's Prophet,Tusk,Earth Spirit,Treant Protector,Doom,Queen of Pain,Phantom Lancer,Sand King,0
Pangolier,Chen,Bounty Hunter,Tiny,Weaver,Winter Wyvern,Nature's Prophet,Tusk,Oracle,Faceless Void,1
Anti-Mage,Puck,Centaur Warrunner,Disruptor,Earthshaker,Nature's Prophet,Alchemist,Tiny,Rubick,Clockwerk,0
Crystal Maiden,Shadow Fiend,Vengeful Spirit,Juggernaut,Beastmaster,Templar Assassin,Batrider,Abaddon,Terrorblade,Rubick,0
Queen of Pain,Tiny,Oracle,Troll Warlord,Ember Spirit,Puck,Earth Spirit,Enigma,Enchantress,Terrorblade,1
Bane,Void Spirit,Doom,Spectre,Tusk,Rubick,Wraith King,Clockwerk,Nature's Prophet,Queen of Pain,1
Ember Spirit,Pugna,Oracle,Bounty Hunter,Nature's Prophet,Chen,Void Spirit,Grimstroke,Tiny,Slark,0
Pangolier,Clockwerk,Windranger,Witch Doctor,Lycan,Tusk,Legion Commander,Slark,Shadow Fiend,Ogre Magi,0
Tiny,Jakiro,Spectre,Storm Spirit,Winter Wyvern,Nature's Prophet,Nyx Assassin,Lifestealer,Legion Commander,Bane,0
Clockwerk,Disruptor,Mars,Queen of Pain,Slark,Tiny,Templar Assassin,Spectre,Earthshaker,Treant Protector,0
Void Spirit,Vengeful Spirit,Terrorblade,Shadow Shaman,Puck,Storm Spirit,Batrider,Lich,Morphling,Grimstroke,0
Grimstroke,Phoenix,Faceless Void,Ember Spirit,Nature's Prophet,Doom,Tiny,Witch Doctor,Void Spirit,Troll Warlord,1
Earthshaker,Lich,Queen of Pain,Morphling,Mars,Treant Protector,Tiny,Doom,Snapfire,Spectre,0
Nyx Assassin,Mars,Venomancer,Bristleback,Warlock,Tidehunter,Templar Assassin,Shadow Shaman,Keeper of the Light,Ember Spirit,0
Nature's Prophet,Earthshaker,Spectre,Venomancer,Disruptor,Pangolier,Clockwerk,Dragon Knight,Mirana,Ursa,1
Disruptor,Nature's Prophet,Puck,Slark,Earth Spirit,Ember Spirit,Spectre,Earthshaker,Grimstroke,Templar Assassin,1
Pangolier,Dazzle,Templar Assassin,Tusk,Nature's Prophet,Kunkka,Spectre,Crystal Maiden,Clinkz,Tiny,0
Windranger,Clockwerk,Puck,Troll Warlord,Jakiro,Luna,Centaur Warrunner,Queen of Pain,Vengeful Spirit,Rubick,1
Nature's Prophet,Mirana,Abaddon,Puck,Phantom Lancer,Queen of Pain,Keeper of the Light,Pangolier,Ember Spirit,Dazzle,1
Beastmaster,Oracle,Pangolier,Ember Spirit,Phantom Assassin,Venomancer,Bloodseeker,Clinkz,Spirit Breaker,Bane,1
Queen of Pain,Ember Spirit,Oracle,Ursa,Nyx Assassin,Dragon Knight,Bounty Hunter,Templar Assassin,Winter Wyvern,Phoenix,1
Visage,Templar Assassin,Nature's Prophet,Faceless Void,Vengeful Spirit,Invoker,Enigma,Phoenix,Ogre Magi,Clinkz,1
Centaur Warrunner,Ember Spirit,Slark,Warlock,Earth Spirit,Nature's Prophet,Legion Commander,Clockwerk,Shadow Fiend,Crystal Maiden,0
Dragon Knight,Batrider,Nyx Assassin,Lycan,Grimstroke,Mirana,Timbersaw,Kunkka,Luna,Oracle,0
Shadow Demon,Viper,Void Spirit,Mirana,Phantom Lancer,Batrider,Nature's Prophet,Lich,Spectre,Tusk,0
Batrider,Elder Titan,Silencer,Phantom Lancer,Mirana,Jakiro,Vengeful Spirit,Sand King,Shadow Demon,Terrorblade,1
Skywrath Mage,Morphling,Legion Commander,Enchantress,Timbersaw,Jakiro,Nature's Prophet,Void Spirit,Riki,Clockwerk,0
Winter Wyvern,Rubick,Void Spirit,Terrorblade,Beastmaster,Dark Willow,Storm Spirit,Mars,Jakiro,Ursa,1
Mirana,Invoker,Pangolier,Ogre Magi,Morphling,Leshrac,Dragon Knight,Shadow Shaman,Rubick,Ursa,1
Ogre Magi,Queen of Pain,Doom,Mirana,Pangolier,Mars,Phoenix,Terrorblade,Void Spirit,Clockwerk,1
Void Spirit,Bloodseeker,Dark Willow,Clockwerk,Zeus,Terrorblade,Visage,Beastmaster,Shadow Demon,Mirana,1
Abaddon,Leshrac,Treant Protector,Rubick,Terrorblade,Phoenix,Faceless Void,Elder Titan,Zeus,Timbersaw,1
Void Spirit,Treant Protector,Terrorblade,Visage,Snapfire,Clockwerk,Spectre,Zeus,Brewmaster,Phoenix,1
Death Prophet,Ogre Magi,Troll Warlord,Beastmaster,Jakiro,Centaur Warrunner,Leshrac,Ursa,Rubick,Warlock,1
Doom,Clockwerk,Weaver,Ancient Apparition,Legion Commander,Earthshaker,Lifestealer,Batrider,Clinkz,Venomancer,1
Dragon Knight,Morphling,Vengeful Spirit,Mirana,Oracle,Dark Willow,Void Spirit,Spectre,Pugna,Bane,0
Batrider,Ursa,Clockwerk,Kunkka,Keeper of the Light,Tiny,Snapfire,Slark,Pangolier,Puck,0
Jakiro,Queen of Pain,Legion Commander,Earth Spirit,Spectre,Vengeful Spirit,Templar Assassin,Nature's Prophet,Keeper of the Light,Ember Spirit,1
Doom,Rubick,Slark,Shadow Fiend,Warlock,Storm Spirit,Witch Doctor,Faceless Void,Ogre Magi,Bounty Hunter,0
Treant Protector,Ember Spirit,Phoenix,Arc Warden,Clockwerk,Anti-Mage,Venomancer,Jakiro,Tiny,Doom,0
Slark,Legion Commander,Mirana,Lich,Ember Spirit,Queen of Pain,Morphling,Batrider,Oracle,Earthshaker,0
Phoenix,Treant Protector,Arc Warden,Ember Spirit,Clockwerk,Anti-Mage,Venomancer,Tiny,Doom,Jakiro,1
Jakiro,Venomancer,Templar Assassin,Puck,Pangolier,Centaur Warrunner,Spectre,Clockwerk,Queen of Pain,Keeper of the Light,1
Ember Spirit,Luna,Silencer,Centaur Warrunner,Crystal Maiden,Tusk,Morphling,Venomancer,Lion,Enigma,0
Bane,Void Spirit,Brewmaster,Snapfire,Ursa,Tiny,Shadow Fiend,Nature's Prophet,Vengeful Spirit,Magnus,0
Earthshaker,Spectre,Nature's Prophet,Batrider,Oracle,Death Prophet,Mars,Phantom Assassin,Shadow Demon,Phoenix,1
Shadow Demon,Tusk,Anti-Mage,Kunkka,Ancient Apparition,Juggernaut,Rubick,Legion Commander,Necrophos,Bane,1
Shadow Fiend,Centaur Warrunner,Ursa,Treant Protector,Pugna,Mars,Shadow Demon,Drow Ranger,Queen of Pain,Rubick,1
Nature's Prophet,Tusk,Legion Commander,Weaver,Axe,Lich,Spectre,Earth Spirit,Pangolier,Batrider,0
Queen of Pain,Pugna,Nyx Assassin,Jakiro,Ursa,Mars,Nature's Prophet,Ember Spirit,Disruptor,Skywrath Mage,1
Tusk,Ancient Apparition,Troll Warlord,Queen of Pain,Centaur Warrunner,Timbersaw,Windranger,Phantom Assassin,Slardar,Shadow Shaman,0
Ogre Magi,Faceless Void,Void Spirit,Mirana,Night Stalker,Dazzle,Lycan,Pugna,Pangolier,Oracle,1
Bounty Hunter,Templar Assassin,Tiny,Oracle,Nature's Prophet,Centaur Warrunner,Riki,Queen of Pain,Winter Wyvern,Grimstroke,1
Legion Commander,Chaos Knight,Crystal Maiden,Ogre Magi,Tidehunter,Invoker,Pangolier,Jakiro,Tiny,Leshrac,0
Vengeful Spirit,Lifestealer,Necrophos,Night Stalker,Void Spirit,Witch Doctor,Puck,Sven,Bristleback,Batrider,1
Bane,Clockwerk,Slark,Dark Seer,Earth Spirit,Puck,Wraith King,Leshrac,Vengeful Spirit,Treant Protector,1
Winter Wyvern,Spectre,Sand King,Mirana,Windranger,Queen of Pain,Lifestealer,Jakiro,Viper,Earthshaker,1
Earthshaker,Abaddon,Beastmaster,Mirana,Kunkka,Sand King,Phoenix,Phantom Lancer,Treant Protector,Queen of Pain,1
Kunkka,Phoenix,Jakiro,Invoker,Nature's Prophet,Legion Commander,Rubick,Terrorblade,Death Prophet,Winter Wyvern,0
Rubick,Legion Commander,Ember Spirit,Mars,Jakiro,Pangolier,Ogre Magi,Mirana,Morphling,Nature's Prophet,0
Jakiro,Ursa,Tiny,Shadow Demon,Templar Assassin,Keeper of the Light,Riki,Legion Commander,Medusa,Puck,0
Clockwerk,Drow Ranger,Jakiro,Necrophos,Lina,Earthshaker,Tinker,Abaddon,Windranger,Morphling,1
Keeper of the Light,Abaddon,Pangolier,Tusk,Nature's Prophet,Jakiro,Storm Spirit,Ogre Magi,Troll Warlord,Pugna,1
Winter Wyvern,Queen of Pain,Timbersaw,Treant Protector,Lifestealer,Enchantress,Viper,Earth Spirit,Luna,Puck,0
Shadow Fiend,Windranger,Timbersaw,Bane,Necrophos,Nature's Prophet,Gyrocopter,Disruptor,Ember Spirit,Clockwerk,0
Bane,Mirana,Void Spirit,Spectre,Timbersaw,Drow Ranger,Pugna,Storm Spirit,Clockwerk,Abaddon,1
Puck,Death Prophet,Slark,Bane,Mirana,Ogre Magi,Ember Spirit,Tiny,Pugna,Abaddon,0
Void Spirit,Lich,Venomancer,Anti-Mage,Tusk,Legion Commander,Pangolier,Snapfire,Ursa,Rubick,0
Witch Doctor,Meepo,Queen of Pain,Tiny,Timbersaw,Leshrac,Vengeful Spirit,Terrorblade,Undying,Tusk,1
Tusk,Lich,Venomancer,Void Spirit,Anti-Mage,Legion Commander,Rubick,Pangolier,Snapfire,Ursa,1
Drow Ranger,Night Stalker,Phoenix,Medusa,Grimstroke,Ursa,Mars,Lone Druid,Dazzle,Queen of Pain,0
Phantom Lancer,Void Spirit,Legion Commander,Rubick,Grimstroke,Jakiro,Tusk,Viper,Ember Spirit,Slark,0
Crystal Maiden,Pugna,Lina,Bristleback,Juggernaut,Spectre,Lich,Invoker,Sand King,Grimstroke,1
Night Stalker,Nature's Prophet,Legion Commander,Anti-Mage,Oracle,Luna,Axe,Queen of Pain,Tusk,Vengeful Spirit,0
Clockwerk,Necrophos,Troll Warlord,Timbersaw,Bane,Chen,Shadow Fiend,Nature's Prophet,Pugna,Earth Spirit,0
Jakiro,Ember Spirit,Luna,Kunkka,Phoenix,Rubick,Void Spirit,Slark,Nature's Prophet,Disruptor,1
Puck,Terrorblade,Queen of Pain,Earthshaker,Vengeful Spirit,Zeus,Anti-Mage,Timbersaw,Lich,Mirana,1
Phantom Assassin,Centaur Warrunner,Phoenix,Puck,Treant Protector,Bane,Anti-Mage,Kunkka,Clockwerk,Mirana,1
Mirana,Drow Ranger,Lion,Pugna,Nyx Assassin,Leshrac,Shadow Demon,Dragon Knight,Centaur Warrunner,Chen,0
Lich,Shadow Fiend,Centaur Warrunner,Mirana,Anti-Mage,Enchantress,Queen of Pain,Ember Spirit,Morphling,Earthshaker,1
Naga Siren,Doom,Earthshaker,Death Prophet,Disruptor,Treant Protector,Wraith King,Lina,Phoenix,Rubick,0
Crystal Maiden,Luna,Leshrac,Pangolier,Templar Assassin,Chen,Pugna,Juggernaut,Tusk,Nature's Prophet,0
Anti-Mage,Void Spirit,Sand King,Mirana,Shadow Demon,Lycan,Timbersaw,Ursa,Puck,Clockwerk,1
Jakiro,Doom,Timbersaw,Terrorblade,Queen of Pain,Io,Puck,Dazzle,Ursa,Tiny,0
Void Spirit,Shadow Demon,Kunkka,Anti-Mage,Ogre Magi,Nyx Assassin,Treant Protector,Leshrac,Necrophos,Nature's Prophet,0
Oracle,Rubick,Terrorblade,Doom,Pangolier,Ember Spirit,Slark,Underlord,Enchantress,Clockwerk,1
Faceless Void,Clockwerk,Templar Assassin,Snapfire,Oracle,Mirana,Tiny,Phantom Lancer,Nature's Prophet,Shadow Demon,0
Nature's Prophet,Beastmaster,Phoenix,Templar Assassin,Treant Protector,Ogre Magi,Anti-Mage,Razor,Doom,Puck,1
Treant Protector,Clinkz,Outworld Devourer,Razor,Crystal Maiden,Leshrac,Ogre Magi,Doom,Shadow Shaman,Troll Warlord,0
Lifestealer,Venomancer,Doom,Beastmaster,Bane,Clockwerk,Faceless Void,Invoker,Tusk,Oracle,1
Jakiro,Earthshaker,Dragon Knight,Naga Siren,Void Spirit,Puck,Rubick,Necrophos,Nature's Prophet,Tiny,0
Legion Commander,Enchantress,Mirana,Morphling,Clinkz,Juggernaut,Shadow Demon,Shadow Fiend,Beastmaster,Crystal Maiden,1
Grimstroke,Pangolier,Nature's Prophet,Ursa,Invoker,Spirit Breaker,Ogre Magi,Rubick,Lina,Troll Warlord,0
Clockwerk,Ember Spirit,Keeper of the Light,Ursa,Phoenix,Enchantress,Tiny,Legion Commander,Lifestealer,Void Spirit,1
Bloodseeker,Shadow Shaman,Vengeful Spirit,Tidehunter,Doom,Lycan,Juggernaut,Puck,Disruptor,Tiny,1
Treant Protector,Windranger,Chen,Alchemist,Phoenix,Tiny,Kunkka,Nature's Prophet,Jakiro,Terrorblade,0
Wraith King,Leshrac,Nyx Assassin,Shadow Demon,Morphling,Juggernaut,Mars,Pugna,Clockwerk,Centaur Warrunner,0
Anti-Mage,Void Spirit,Brewmaster,Phoenix,Ogre Magi,Ursa,Sniper,Clockwerk,Mirana,Shadow Demon,0
Batrider,Medusa,Nyx Assassin,Nature's Prophet,Bane,Mirana,Terrorblade,Queen of Pain,Mars,Shadow Demon,1
Pangolier,Nature's Prophet,Phoenix,Void Spirit,Treant Protector,Ogre Magi,Leshrac,Beastmaster,Rubick,Wraith King,0
Vengeful Spirit,Ursa,Nature's Prophet,Tusk,Earth Spirit,Treant Protector,Doom,Queen of Pain,Phantom Lancer,Sand King,0
Pangolier,Chen,Bounty Hunter,Tiny,Weaver,Winter Wyvern,Nature's Prophet,Tusk,Oracle,Faceless Void,1
Anti-Mage,Puck,Centaur Warrunner,Disruptor,Earthshaker,Nature's Prophet,Alchemist,Tiny,Rubick,Clockwerk,0
Crystal Maiden,Shadow Fiend,Vengeful Spirit,Juggernaut,Beastmaster,Templar Assassin,Batrider,Abaddon,Terrorblade,Rubick,0
Queen of Pain,Tiny,Oracle,Troll Warlord,Ember Spirit,Puck,Earth Spirit,Enigma,Enchantress,Terrorblade,1
Bane,Void Spirit,Doom,Spectre,Tusk,Rubick,Wraith King,Clockwerk,Nature's Prophet,Queen of Pain,1
Ember Spirit,Pugna,Oracle,Bounty Hunter,Nature's Prophet,Chen,Void Spirit,Grimstroke,Tiny,Slark,0
Pangolier,Clockwerk,Windranger,Witch Doctor,Lycan,Tusk,Legion Commander,Slark,Shadow Fiend,Ogre Magi,0
Tiny,Jakiro,Spectre,Storm Spirit,Winter Wyvern,Nature's Prophet,Nyx Assassin,Lifestealer,Legion Commander,Bane,0
Clockwerk,Disruptor,Mars,Queen of Pain,Slark,Tiny,Templar Assassin,Spectre,Earthshaker,Treant Protector,0
Void Spirit,Vengeful Spirit,Terrorblade,Shadow Shaman,Puck,Storm Spirit,Batrider,Lich,Morphling,Grimstroke,0
Grimstroke,Phoenix,Faceless Void,Ember Spirit,Nature's Prophet,Doom,Tiny,Witch Doctor,Void Spirit,Troll Warlord,1
Earthshaker,Lich,Queen of Pain,Morphling,Mars,Treant Protector,Tiny,Doom,Snapfire,Spectre,0
Nyx Assassin,Mars,Venomancer,Bristleback,Warlock,Tidehunter,Templar Assassin,Shadow Shaman,Keeper of the Light,Ember Spirit,0
Nature's Prophet,Earthshaker,Spectre,Venomancer,Disruptor,Pangolier,Clockwerk,Dragon Knight,Mirana,Ursa,1
Disruptor,Nature's Prophet,Puck,Slark,Earth Spirit,Ember Spirit,Spectre,Earthshaker,Grimstroke,Templar Assassin,1
Pangolier,Dazzle,Templar Assassin,Tusk,Nature's Prophet,Kunkka,Spectre,Crystal Maiden,Clinkz,Tiny,0
Windranger,Clockwerk,Puck,Troll Warlord,Jakiro,Luna,Centaur Warrunner,Queen of Pain,Vengeful Spirit,Rubick,1
Nature's Prophet,Mirana,Abaddon,Puck,Phantom Lancer,Queen of Pain,Keeper of the Light,Pangolier,Ember Spirit,Dazzle,1
Beastmaster,Oracle,Pangolier,Ember Spirit,Phantom Assassin,Venomancer,Bloodseeker,Clinkz,Spirit Breaker,Bane,1
Queen of Pain,Ember Spirit,Oracle,Ursa,Nyx Assassin,Dragon Knight,Bounty Hunter,Templar Assassin,Winter Wyvern,Phoenix,1
Visage,Templar Assassin,Nature's Prophet,Faceless Void,Vengeful Spirit,Invoker,Enigma,Phoenix,Ogre Magi,Clinkz,1
Centaur Warrunner,Ember Spirit,Slark,Warlock,Earth Spirit,Nature's Prophet,Legion Commander,Clockwerk,Shadow Fiend,Crystal Maiden,0
Dragon Knight,Batrider,Nyx Assassin,Lycan,Grimstroke,Mirana,Timbersaw,Kunkka,Luna,Oracle,0
Shadow Demon,Viper,Void Spirit,Mirana,Phantom Lancer,Batrider,Nature's Prophet,Lich,Spectre,Tusk,0
Batrider,Elder Titan,Silencer,Phantom Lancer,Mirana,Jakiro,Vengeful Spirit,Sand King,Shadow Demon,Terrorblade,1
Skywrath Mage,Morphling,Legion Commander,Enchantress,Timbersaw,Jakiro,Nature's Prophet,Void Spirit,Riki,Clockwerk,0
Winter Wyvern,Rubick,Void Spirit,Terrorblade,Beastmaster,Dark Willow,Storm Spirit,Mars,Jakiro,Ursa,1
Mirana,Invoker,Pangolier,Ogre Magi,Morphling,Leshrac,Dragon Knight,Shadow Shaman,Rubick,Ursa,1
Ogre Magi,Queen of Pain,Doom,Mirana,Pangolier,Mars,Phoenix,Terrorblade,Void Spirit,Clockwerk,1
Void Spirit,Bloodseeker,Dark Willow,Clockwerk,Zeus,Terrorblade,Visage,Beastmaster,Shadow Demon,Mirana,1
Abaddon,Leshrac,Treant Protector,Rubick,Terrorblade,Phoenix,Faceless Void,Elder Titan,Zeus,Timbersaw,1
Void Spirit,Treant Protector,Terrorblade,Visage,Snapfire,Clockwerk,Spectre,Zeus,Brewmaster,Phoenix,1
Death Prophet,Ogre Magi,Troll Warlord,Beastmaster,Jakiro,Centaur Warrunner,Leshrac,Ursa,Rubick,Warlock,1
Doom,Clockwerk,Weaver,Ancient Apparition,Legion Commander,Earthshaker,Lifestealer,Batrider,Clinkz,Venomancer,1
Dragon Knight,Morphling,Vengeful Spirit,Mirana,Oracle,Dark Willow,Void Spirit,Spectre,Pugna,Bane,0
Batrider,Ursa,Clockwerk,Kunkka,Keeper of the Light,Tiny,Snapfire,Slark,Pangolier,Puck,0
Jakiro,Queen of Pain,Legion Commander,Earth Spirit,Spectre,Vengeful Spirit,Templar Assassin,Nature's Prophet,Keeper of the Light,Ember Spirit,1
Doom,Rubick,Slark,Shadow Fiend,Warlock,Storm Spirit,Witch Doctor,Faceless Void,Ogre Magi,Bounty Hunter,0
Treant Protector,Ember Spirit,Phoenix,Arc Warden,Clockwerk,Anti-Mage,Venomancer,Jakiro,Tiny,Doom,0
Slark,Legion Commander,Mirana,Lich,Ember Spirit,Queen of Pain,Morphling,Batrider,Oracle,Earthshaker,0
Phoenix,Treant Protector,Arc Warden,Ember Spirit,Clockwerk,Anti-Mage,Venomancer,Tiny,Doom,Jakiro,1
Jakiro,Venomancer,Templar Assassin,Puck,Pangolier,Centaur Warrunner,Spectre,Clockwerk,Queen of Pain,Keeper of the Light,1
Ember Spirit,Luna,Silencer,Centaur Warrunner,Crystal Maiden,Tusk,Morphling,Venomancer,Lion,Enigma,0
Bane,Void Spirit,Brewmaster,Snapfire,Ursa,Tiny,Shadow Fiend,Nature's Prophet,Vengeful Spirit,Magnus,0
Earthshaker,Spectre,Nature's Prophet,Batrider,Oracle,Death Prophet,Mars,Phantom Assassin,Shadow Demon,Phoenix,1
Shadow Demon,Tusk,Anti-Mage,Kunkka,Ancient Apparition,Juggernaut,Rubick,Legion Commander,Necrophos,Bane,1
Shadow Fiend,Centaur Warrunner,Ursa,Treant Protector,Pugna,Mars,Shadow Demon,Drow Ranger,Queen of Pain,Rubick,1
Nature's Prophet,Tusk,Legion Commander,Weaver,Axe,Lich,Spectre,Earth Spirit,Pangolier,Batrider,0
Queen of Pain,Pugna,Nyx Assassin,Jakiro,Ursa,Mars,Nature's Prophet,Ember Spirit,Disruptor,Skywrath Mage,1
Tusk,Ancient Apparition,Troll Warlord,Queen of Pain,Centaur Warrunner,Timbersaw,Windranger,Phantom Assassin,Slardar,Shadow Shaman,0
Ogre Magi,Faceless Void,Void Spirit,Mirana,Night Stalker,Dazzle,Lycan,Pugna,Pangolier,Oracle,1
Bounty Hunter,Templar Assassin,Tiny,Oracle,Nature's Prophet,Centaur Warrunner,Riki,Queen of Pain,Winter Wyvern,Grimstroke,1
Legion Commander,Chaos Knight,Crystal Maiden,Ogre Magi,Tidehunter,Invoker,Pangolier,Jakiro,Tiny,Leshrac,0
Vengeful Spirit,Lifestealer,Necrophos,Night Stalker,Void Spirit,Witch Doctor,Puck,Sven,Bristleback,Batrider,1
Bane,Clockwerk,Slark,Dark Seer,Earth Spirit,Puck,Wraith King,Leshrac,Vengeful Spirit,Treant Protector,1
Winter Wyvern,Spectre,Sand King,Mirana,Windranger,Queen of Pain,Lifestealer,Jakiro,Viper,Earthshaker,1
Earthshaker,Abaddon,Beastmaster,Mirana,Kunkka,Sand King,Phoenix,Phantom Lancer,Treant Protector,Queen of Pain,1
Kunkka,Phoenix,Jakiro,Invoker,Nature's Prophet,Legion Commander,Rubick,Terrorblade,Death Prophet,Winter Wyvern,0
Rubick,Legion Commander,Ember Spirit,Mars,Jakiro,Pangolier,Ogre Magi,Mirana,Morphling,Nature's Prophet,0
Jakiro,Ursa,Tiny,Shadow Demon,Templar Assassin,Keeper of the Light,Riki,Legion Commander,Medusa,Puck,0
Clockwerk,Drow Ranger,Jakiro,Necrophos,Lina,Earthshaker,Tinker,Abaddon,Windranger,Morphling,1
Keeper of the Light,Abaddon,Pangolier,Tusk,Nature's Prophet,Jakiro,Storm Spirit,Ogre Magi,Troll Warlord,Pugna,1
Winter Wyvern,Queen of Pain,Timbersaw,Treant Protector,Lifestealer,Enchantress,Viper,Earth Spirit,Luna,Puck,0
Shadow Fiend,Windranger,Timbersaw,Bane,Necrophos,Nature's Prophet,Gyrocopter,Disruptor,Ember Spirit,Clockwerk,0
